Symbol,Sector,ListedIn,LDCP,Open,High,Low,Current,Change,ChangePct,Volume
AHTM,0829,"ALLSHR,KMIALLSHR",101.5,98.0,98.03,98.0,101.5,0.0,0.00%,51
UPFL,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",25674.98,25972.0,25972.0,25537.0,25644.92,-30.06,-0.12%,50
FRSM,0826,"ALLSHR,KMIALLSHR",41.6,43.66,43.66,41.8,41.6,0.0,0.00%,47
SHSML,0826,"ALLSHR,KMIALLSHR",374.91,380.91,381.99,380.91,374.91,0.0,0.00%,45
ASIC,0812,ALLSHR,39.52,40.05,40.05,39.5,39.52,0.0,0.00%,30
ELCM,0830,"ALLSHR,KMIALLSHR",200.57,199.95,200.0,199.95,200.57,0.0,0.00%,28
PIAHCLB,0813,ALLSHR,17198.0,17175.0,17300.0,16606.0,17300.0,102.0,0.59%,26
KHYT,0829,"ALLSHR,KMIALLSHR",1944.26,1810.0,1940.35,1810.0,1907.21,-37.05,-1.91%,18
BHAT,0829,"ALLSHR,KMIALLSHR",819.53,820.0,820.0,820.0,819.53,0.0,0.00%,18
BTL,0829,"ALLSHR,KMIALLSHR",900.6,903.56,903.56,851.01,900.6,0.0,0.00%,17
JDWS,0826,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",895.0,905.0,905.0,888.01,895.0,0.0,0.00%,16
ISIL,0810,"ALLSHR,KMIALLSHR",1864.0,1915.0,1915.0,1858.0,1864.0,0.0,0.00%,13
RMPL,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",9250.11,9252.01,9298.0,9252.0,9270.41,20.3,0.22%,12
SAPT,0829,"ALLSHR,KMIALLSHR",1440.31,1440.31,1445.01,1440.31,1440.31,0.0,0.00%,8
FIMM,0819,"ALLSHR,KMIALLSHR",219.15,210.0,210.0,209.72,219.15,0.0,0.00%,3
FSWLNC,0829,ALLSHR,153.57,153.57,153.57,153.57,153.57,0.0,0.00%,3
