Symbol,Sector,ListedIn,LDCP,Open,High,Low,Current,Change,ChangePct,Volume
SURC,0829,"ALLSHR,KMIALLSHR",149.99,148.0,148.0,146.25,148.0,-1.99,-1.33%,168
NESTLE,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",7505.33,7505.33,7505.33,7480.0,7499.98,-5.35,-0.07%,161
BAFS,0826,"ALLSHR,KMIALLSHR",475.8,450.0,490.0,450.0,464.01,-11.79,-2.48%,150
IDEAL,0830,"ALLSHR,KMIALLSHR",53.46,53.46,53.46,52.1,53.4,-0.06,-0.11%,127
SMLNC,0826,"ALLSHR,KMIALLSHR",95.76,95.0,95.0,95.0,95.0,-0.76,-0.79%,121
NSRM,0827,"ALLSHR,KMIALLSHR",239.0,238.0,245.0,230.0,237.85,-1.15,-0.48%,117
FASM,0829,"ALLSHR,KMIALLSHR",315.18,315.02,330.0,315.01,320.0,4.82,1.53%,110
KCL,0811,"ALLSHR,KMIALLSHR",144.13,145.0,157.98,145.0,157.98,13.85,9.61%,109
JVDCPS,0838,ALLSHR,57.91,57.35,57.35,57.35,57.35,-0.56,-0.97%,100
SHSML,0826,"ALLSHR,KMIALLSHR",375.0,383.0,383.0,362.21,374.5,-0.5,-0.13%,94
KSTMNC,0830,"ALLSHR,KMIALLSHR",12.95,12.5,13.38,12.5,13.0,0.05,0.39%,90
AABS,0826,ALLSHR,821.85,822.0,822.0,813.01,818.0,-3.85,-0.47%,88
BELANC,0802,ALLSHR,57.25,58.0,59.55,55.06,55.06,-2.19,-3.82%,63
ASIC,0812,ALLSHR,36.58,38.8,40.0,36.99,36.99,0.41,1.12%,62
UPFLXD,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",25207.25,25210.0,25300.0,25199.0,25200.0,-7.25,-0.03%,60
JDWS,0826,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",900.0,900.0,908.9,895.01,895.01,-4.99,-0.55%,59
PSYL,0827,"ALLSHR,KMIALLSHR",121.31,130.0,130.0,125.99,125.99,4.68,3.86%,52
REWM,0829,"ALLSHR,KMIALLSHR",160.38,156.01,156.01,156.01,156.01,-4.37,-2.72%,51
ISIL,0810,"ALLSHR,KMIALLSHR",1858.85,1888.0,1888.0,1830.0,1830.0,-28.85,-1.55%,26
SASML,0826,"ALLSHR,KMIALLSHR",333.96,321.02,349.94,321.02,348.49,14.53,4.35%,24
ALIFEXD,0812,ALLSHR,31.37,31.17,32.13,31.17,31.47,0.1,0.32%,19
RMPLXD,0810,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",9275.01,9212.75,9225.1,9211.09,9222.0,-53.01,-0.57%,18
IBFL,0827,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",263.67,268.0,268.0,268.0,268.0,4.33,1.64%,18
IGIL,0812,ALLSHR,19.88,19.88,19.88,19.88,19.88,0.0,0.00%,10
EWIC,0812,ALLSHR,64.67,71.0,71.0,60.1,60.1,-4.57,-7.07%,4
PIAHCLB,0813,ALLSHR,16999.0,18224.0,18224.0,16224.24,16224.24,-774.76,-4.56%,4
HABSM,0826,ALLSHR,79.75,80.99,80.99,80.95,80.95,1.2,1.51%,3
ARMG,0813,ALLSHR,53.77,55.0,55.0,55.0,55.0,1.23,2.29%,3
BTL,0829,"ALLSHR,KMIALLSHR",900.6,900.0,900.0,895.0,895.0,-5.6,-0.62%,2
KHYT,0829,"ALLSHR,KMIALLSHR",1785.06,1800.0,1860.0,1800.0,1860.0,74.94,4.20%,2
ANLNV,0829,ALLSHR,7.59,8.48,8.48,8.48,8.48,0.89,11.73%,1
