Symbol,Sector,ListedIn,LDCP,Open,High,Low,Current,Change,ChangePct,Volume
DEL,0813,ALLSHR,18.65,18.65,19.2,18.01,18.92,0.27,1.45%,20697
ARCTM,0830,"ALLSHR,KMIALLSHR",44.54,44.51,44.98,42.1,42.61,-1.93,-4.33%,20622
LIVEN,0823,"ALLSHR,KMIALLSHR",33.12,33.59,33.6,31.0,32.5,-0.62,-1.87%,20293
HGFA,0806,"ALLSHR,KSE100,KSE100PR",14.41,14.4,14.85,13.6,14.15,-0.26,-1.80%,20049
BIFO,0805,"ALLSHR,KMIALLSHR",121.53,121.53,122.5,120.0,120.98,-0.55,-0.45%,19965
QUICE,0810,"ALLSHR,KMIALLSHR",29.48,29.47,29.48,29.0,29.41,-0.07,-0.24%,19841
PAKD,0828,"ALLSHR,KMIALLSHR",123.88,125.98,125.98,122.1,124.49,0.61,0.49%,17933
ATBA,0802,"ALLSHR,KMIALLSHR",177.76,177.75,177.75,175.51,177.0,-0.76,-0.43%,17546
MQTM,0830,"ALLSHR,KMIALLSHR",28.19,28.2,29.0,27.21,27.98,-0.21,-0.74%,17400
ARPAK,0818,ALLSHR,144.89,154.19,154.6,130.4,130.4,-14.49,-10.00%,16905
MIRKS,0826,"ALLSHR,KMIALLSHR",33.1,33.0,33.35,32.0,32.85,-0.25,-0.75%,16669
INKL,0839,"ALLSHR,KMIALLSHR",92.89,94.9,101.0,90.1,94.9,2.01,2.16%,16622
JSRR,0836,ALLSHR,10.5,10.85,10.85,10.45,10.8,0.3,2.86%,16485
HINOON,0823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",930.78,934.9,934.9,920.0,920.0,-10.78,-1.16%,16132
PGLC,0815,"ALLSHR,KSE100,KSE100PR",18.96,19.0,19.0,17.85,17.88,-1.08,-5.70%,15969
SIBL,0813,ALLSHR,7.06,7.08,7.62,7.05,7.05,-0.01,-0.14%,15691
GEMMEL,0824,"ALLSHR,KMIALLSHR",35.07,35.0,35.0,35.0,35.0,-0.07,-0.20%,15536
ABOT,0823,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",940.73,947.0,947.0,925.0,928.0,-12.73,-1.35%,14910
JGICL,0812,ALLSHR,77.69,78.95,78.95,77.5,78.15,0.46,0.59%,14705
DADX,0808,"ALLSHR,KMIALLSHR",116.32,119.0,119.9,108.0,111.7,-4.62,-3.97%,14053
MACTER,0823,"ALLSHR,KMIALLSHR",266.7,265.05,265.05,241.0,260.0,-6.7,-2.51%,13813
ICCI,0831,"ALLSHR,KMIALLSHR",14.55,15.15,15.69,14.0,14.92,0.37,2.54%,13679
SZTM,0830,"ALLSHR,KMIALLSHR",87.46,92.0,92.0,86.09,90.0,2.54,2.90%,13568
MRNS,0826,"ALLSHR,KMIALLSHR",59.59,59.59,60.69,58.0,59.6,0.01,0.02%,13123
IDRT,0830,"ALLSHR,KMIALLSHR",36.6,36.99,37.39,35.8,36.0,-0.6,-1.64%,12494
UDPL,0818,"ALLSHR,KMIALLSHR",117.55,122.0,122.0,115.21,117.78,0.23,0.20%,12426
SEPL,0822,ALLSHR,152.6,152.56,153.98,152.56,152.7,0.1,0.07%,12119
HIFA,0806,ALLSHR,5.04,5.15,5.15,5.0,5.1,0.06,1.19%,11917
ESBLNC,0813,ALLSHR,10.21,10.11,10.37,9.51,10.1,-0.11,-1.08%,11683
DWAENC,0802,ALLSHR,23.8,22.79,24.0,22.52,23.1,-0.7,-2.94%,11519
UDLI,0818,"ALLSHR,KMIALLSHR",18.0,18.0,18.19,17.8,18.0,0.0,0.00%,11299
PSEL,0818,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",828.6,880.0,911.46,860.0,880.36,51.76,6.25%,11210
MCBIM,0813,ALLSHR,164.49,164.5,167.0,164.49,165.0,0.51,0.31%,11181
JSGBETF,0837,,40.8,40.43,40.63,40.35,40.37,-0.43,-1.05%,11000
ZAHID,0829,"ALLSHR,KMIALLSHR",70.35,70.5,72.45,70.06,70.07,-0.28,-0.40%,10538
FECM,0819,"ALLSHR,KMIALLSHR",26.48,27.6,27.6,25.05,26.75,0.27,1.02%,10287
STYLERS,0839,"ALLSHR,KMIALLSHR",51.49,49.06,51.85,49.06,51.8,0.31,0.60%,10064
ANTM,0829,"ALLSHR,KMIALLSHR",82.66,82.66,84.64,77.2,81.9,-0.76,-0.92%,9969
AGTL,0801,"ALLSHR,KMIALLSHR",348.01,349.49,355.0,346.0,353.0,4.99,1.43%,9748
NCMLNC,0830,"ALLSHR,KMIALLSHR",16.03,15.75,15.75,15.2,15.65,-0.38,-2.37%,9500
CENIXD,0812,ALLSHR,52.85,52.85,53.8,52.25,52.27,-0.58,-1.10%,8658
ACIETFXD,0837,,17.0,17.08,17.21,17.08,17.19,0.19,1.12%,8500
PRWM,0831,ALLSHR,64.01,67.0,67.15,63.0,65.0,0.99,1.55%,8296
UVIC,0812,ALLSHR,19.75,19.5,20.45,19.5,20.45,0.7,3.54%,8062
BOK,0807,ALLSHR,30.73,30.75,31.0,27.77,27.77,-2.96,-9.63%,7644
PNSC,0833,ALLSHR,516.38,516.38,529.99,515.0,516.99,0.61,0.12%,7334
GEMBCEM,0819,"ALLSHR,KMIALLSHR",11.31,11.35,11.35,11.3,11.3,-0.01,-0.09%,7317
GFIL,0829,"ALLSHR,KMIALLSHR",29.89,30.0,30.0,27.27,28.45,-1.44,-4.82%,7201
OTSU,0823,"ALLSHR,KMIALLSHR",381.21,379.0,388.0,361.0,371.0,-10.21,-2.68%,7097
DINT,0830,"ALLSHR,KMIALLSHR",59.55,61.71,61.71,57.21,57.5,-2.05,-3.44%,6718
INDU,0801,"ALLSHR,KSE100,KSE100PR",1898.91,1898.92,1908.0,1871.25,1890.0,-8.91,-0.47%,6612
HBLTETF,0837,,105.71,105.75,105.75,105.7,105.75,0.04,0.04%,6500
WAHN,0805,"ALLSHR,KMIALLSHR",274.23,275.0,283.0,271.01,272.0,-2.23,-0.81%,6443
ATILXD,0812,ALLSHR,75.18,75.18,76.4,75.0,76.0,0.82,1.09%,6353
GADT,0830,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",315.18,319.64,319.64,311.0,314.98,-0.2,-0.06%,6055
SCBPLXD,0807,"ALLSHR,KSE100,KSE100PR",63.01,62.16,64.97,61.5,61.82,-1.19,-1.89%,6008
HAEL,0829,"ALLSHR,KMIALLSHR",25.93,25.0,27.89,25.0,25.86,-0.07,-0.27%,5915
IGIHLXD,0812,ALLSHR,261.51,262.98,262.98,258.3,258.35,-3.16,-1.21%,5832
BWHL,0802,"ALLSHR,KMIALLSHR",229.67,226.1,230.25,226.1,230.0,0.33,0.14%,5809
ACPL,0804,"ALLSHR,KMIALLSHR",232.02,232.05,234.5,228.0,231.59,-0.43,-0.18%,5726
OLPM,0819,"ALLSHR,KMIALLSHR",25.01,25.01,25.25,24.9,25.25,0.24,0.96%,5608
PAKOXY,0805,"ALLSHR,KMIALLSHR",335.39,334.0,346.97,333.0,336.11,0.72,0.22%,5495
AATM,0830,ALLSHR,59.96,62.0,62.0,59.14,59.5,-0.46,-0.77%,5067
SSOM,0834,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",440.46,433.01,444.89,432.12,437.0,-3.46,-0.79%,4954
HUSI,0838,ALLSHR,53.19,56.0,56.0,51.5,51.65,-1.54,-2.89%,4953
CCM,0830,"ALLSHR,KMIALLSHR",44.97,44.0,45.45,44.0,44.11,-0.86,-1.91%,4810
JKSM,0830,ALLSHR,344.43,344.0,369.25,322.2,340.0,-4.43,-1.29%,4702
IDYM,0830,ALLSHR,135.05,135.0,137.17,134.0,136.0,0.95,0.70%,4623
BWCLXD,0804,"ALLSHR,KSE100,KSE100PR",475.79,475.0,477.2,470.06,472.98,-2.81,-0.59%,4564
JUBSNC,0829,"ALLSHR,KMIALLSHR",47.25,50.89,50.89,42.8,44.62,-2.63,-5.57%,4469
GOC,0818,"ALLSHR,KMIALLSHR",171.43,175.0,177.0,164.22,177.0,5.57,3.25%,4447
ARPL,0805,"ALLSHR,KMIALLSHR",429.77,424.02,433.0,424.02,428.0,-1.77,-0.41%,4423
ZTL,0831,"ALLSHR,KMIALLSHR",16.94,17.0,17.09,16.66,16.9,-0.04,-0.24%,4385
MFFL,0810,"ALLSHR,KMIALLSHR",169.0,165.0,169.9,162.0,164.0,-5.0,-2.96%,4323
PKGP,0824,ALLSHR,38.49,39.0,39.0,38.0,38.49,0.0,0.00%,4295
PCAL,0803,ALLSHR,167.87,167.5,167.5,163.1,164.1,-3.77,-2.25%,4282
AKGL,0818,"ALLSHR,KMIALLSHR",63.65,58.01,69.44,58.0,60.0,-3.65,-5.73%,4153
GVGL,0811,"ALLSHR,KMIALLSHR",54.9,54.9,55.0,54.2,54.2,-0.7,-1.27%,4046
TPLI,0812,ALLSHR,55.82,57.5,57.5,55.6,55.6,-0.22,-0.39%,4002
SERT,0830,"ALLSHR,KMIALLSHR",44.98,45.27,45.27,43.3,43.4,-1.58,-3.51%,3914
CRTM,0829,"ALLSHR,KMIALLSHR",69.16,69.0,69.99,67.1,69.0,-0.16,-0.23%,3912
DWTMWU,0830,ALLSHR,10.4,10.84,10.84,9.82,10.78,0.38,3.65%,3746
SEL,0824,"ALLSHR,KMIALLSHR",27.63,27.01,28.0,27.01,27.2,-0.43,-1.56%,3632
POWERPS,0804,ALLSHR,24.88,27.37,27.37,27.37,27.37,2.49,10.01%,3470
AGIC,0812,ALLSHR,39.5,40.17,41.43,40.0,40.18,0.68,1.72%,3405
NONS,0826,"ALLSHR,KMIALLSHR",85.88,86.0,86.0,83.02,84.42,-1.46,-1.70%,3332
KHTC,0832,ALLSHR,301.11,301.5,309.0,300.0,305.99,4.88,1.62%,3324
OLPL,0813,ALLSHR,48.0,48.01,48.01,47.0,48.0,0.0,0.00%,3312
FILNC,0816,"ALLSHR,KMIALLSHR",261.9,288.09,288.09,264.51,288.09,26.19,10.00%,3239
STML,0829,"ALLSHR,KMIALLSHR",52.26,52.0,53.76,50.0,50.0,-2.26,-4.32%,3203
ASLPS,0808,ALLSHR,26.07,27.99,27.99,25.15,27.55,1.48,5.68%,3133
OML,0818,"ALLSHR,KMIALLSHR",78.1,80.0,80.0,77.1,77.95,-0.15,-0.19%,3111
QUETNC,0829,"ALLSHR,KMIALLSHR",15.65,15.97,15.97,15.0,15.73,0.08,0.51%,3106
SSMLNC,0830,"ALLSHR,KMIALLSHR",21.31,22.5,22.5,21.05,21.05,-0.26,-1.22%,2935
EFULXD,0812,ALLSHR,158.69,155.51,159.9,155.51,158.01,-0.68,-0.43%,2929
IMLNC,0813,ALLSHR,23.28,24.99,24.99,23.25,24.5,1.22,5.24%,2851
LPGL,0805,"ALLSHR,KMIALLSHR",91.43,91.44,92.0,90.76,91.0,-0.43,-0.47%,2748
UBDL,0818,"ALLSHR,KMIALLSHR",27.68,28.5,29.09,27.67,27.72,0.04,0.15%,2572
SUTM,0830,ALLSHR,112.2,110.5,110.5,110.1,110.1,-2.1,-1.87%,2360
FRSM,0826,"ALLSHR,KMIALLSHR",41.65,41.36,42.77,41.0,42.5,0.85,2.04%,2280
LPL,0824,ALLSHR,21.0,21.0,21.34,20.42,20.72,-0.28,-1.33%,2253
MUGHALC,0808,ALLSHR,61.98,61.0,62.5,60.0,60.0,-1.98,-3.19%,2057
CHAS,0826,"ALLSHR,KMIALLSHR",84.26,84.11,84.8,83.1,83.34,-0.92,-1.09%,1900
STJT,0831,"ALLSHR,KMIALLSHR",152.06,159.49,167.27,145.0,167.27,15.21,10.00%,1854
ATLH,0801,"ALLSHR,KSE100,KSE100PR",1600.14,1600.14,1609.98,1592.05,1600.0,-0.14,-0.01%,1751
SHFA,0818,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",477.06,477.06,479.98,476.0,476.01,-1.05,-0.22%,1559
SPLNC,0805,"ALLSHR,KMIALLSHR",49.48,49.0,50.31,49.0,49.5,0.02,0.04%,1512
FSWLNC,0829,ALLSHR,154.01,168.94,168.94,144.0,158.0,3.99,2.59%,1451
TICL,0826,"ALLSHR,KMIALLSHR",1025.1,1025.25,1050.0,1000.0,1033.0,7.9,0.77%,1439
ZIL,0810,"ALLSHR,KMIALLSHR",344.5,355.89,355.89,316.0,336.0,-8.5,-2.47%,1355
HINO,0801,"ALLSHR,KMIALLSHR",343.88,343.0,344.5,335.12,340.0,-3.88,-1.13%,1291
POML,0834,"ALLSHR,KMIALLSHR",152.1,160.89,160.9,153.0,155.0,2.9,1.91%,1286
SNAI,0830,"ALLSHR,KMIALLSHR",35.58,37.9,37.9,33.1,36.85,1.27,3.57%,1264
ELSM,0830,"ALLSHR,KMIALLSHR",144.97,146.0,157.0,146.0,146.2,1.23,0.85%,1211
AMBL,0813,ALLSHR,19.22,19.88,20.0,19.51,19.51,0.29,1.51%,1208
SHEZ,0810,ALLSHR,250.47,258.9,258.9,245.0,245.0,-5.47,-2.18%,1207
DYNO,0805,"ALLSHR,KMIALLSHR",350.45,352.99,352.99,335.3,347.0,-3.45,-0.98%,1197
FZCM,0829,"ALLSHR,KMIALLSHR",254.72,253.99,255.0,252.0,252.0,-2.72,-1.07%,1073
JSIL,0813,ALLSHR,41.94,39.05,42.25,39.05,42.23,0.29,0.69%,1019
GEMPAPL,0822,"ALLSHR,KMIALLSHR",11.5,10.76,10.76,10.76,10.76,-0.74,-6.43%,1000
EXIDE,0802,"ALLSHR,KMIALLSHR",463.82,461.17,468.89,460.0,460.02,-3.8,-0.82%,918
ASLCPS,0808,ALLSHR,95.75,95.75,105.29,95.75,96.7,0.95,0.99%,811
DMC,0830,"ALLSHR,KMIALLSHR",176.67,182.0,182.0,159.4,177.0,0.33,0.19%,776
BNWM,0835,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",66.13,66.1,67.37,66.1,66.1,-0.03,-0.04%,726
SHCM,0830,"ALLSHR,KMIALLSHR",53.33,57.5,57.5,49.01,55.9,2.57,4.82%,658
REDCO,0829,"ALLSHR,KMIALLSHR",29.37,29.76,29.76,29.03,29.76,0.39,1.33%,618
SHJS,0826,ALLSHR,138.53,142.99,142.99,138.01,138.5,-0.03,-0.02%,617
SFL,0829,ALLSHR,1135.75,1135.0,1135.05,1135.0,1135.0,-0.75,-0.07%,605
MUREB,0810,"ALLSHR,KSE100,KSE100PR",925.0,924.0,924.0,915.0,921.99,-3.01,-0.32%,565
SUHJNC,0814,"ALLSHR,KMIALLSHR",182.1,171.01,182.0,164.2,171.21,-10.89,-5.98%,539
BATA,0816,"ALLSHR,KMIALLSHR",883.6,884.99,884.99,873.0,873.0,-10.6,-1.20%,517
SITC,0805,"ALLSHR,KMIALLSHR",760.0,764.98,764.98,747.06,760.0,0.0,0.00%,513
EFUGXD,0812,ALLSHR,130.21,125.1,131.99,125.1,130.8,0.59,0.45%,486
PKGS,0822,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",771.42,770.0,771.99,751.0,760.0,-11.42,-1.48%,482
ELCM,0830,"ALLSHR,KMIALLSHR",201.67,198.11,198.98,183.1,198.98,-2.69,-1.33%,479
KPUS,0826,"ALLSHR,KMIALLSHR",822.95,822.95,829.79,820.0,820.0,-2.95,-0.36%,420
PECONC,0808,ALLSHR,674.53,676.0,684.0,676.0,677.0,2.47,0.37%,418
ALNRS,0826,"ALLSHR,KMIALLSHR",122.01,127.0,127.0,122.0,124.99,2.98,2.44%,411
HPLXD,0823,"ALLSHR,KMIALLSHR",4023.7,3951.35,4024.9,3951.2,4000.0,-23.7,-0.59%,367
AHTM,0829,"ALLSHR,KMIALLSHR",92.37,99.77,99.78,90.01,98.96,6.59,7.13%,335
ADAMS,0826,"ALLSHR,KMIALLSHR",65.98,65.98,68.77,65.02,65.02,-0.96,-1.45%,323
FRCL,0811,"ALLSHR,KMIALLSHR",88.68,91.99,91.99,86.25,88.0,-0.68,-0.77%,311
GEMPACRA,0818,"ALLSHR,KMIALLSHR",37.4,34.01,36.97,34.01,36.97,-0.43,-1.15%,310
TSML,0826,ALLSHR,524.11,549.0,549.99,500.01,520.0,-4.11,-0.78%,292
GCWLPRS,0805,ALLSHR,131.99,119.0,133.0,119.0,133.0,1.01,0.77%,285
SIEM,0803,"ALLSHR,KMIALLSHR",1631.91,1610.0,1654.0,1600.0,1600.0,-31.91,-1.95%,263
AKDHL,0818,ALLSHR,153.04,153.0,153.99,148.0,148.52,-4.52,-2.95%,228
TRIPF,0818,ALLSHR,137.06,136.55,137.79,136.0,137.78,0.72,0.53%,204
NATM,0830,"ALLSHR,KMIALLSHR",79.85,72.02,84.97,72.02,75.0,-4.85,-6.07%,201
JSGCL,0813,ALLSHR,151.31,0.0,0.0,0.0,151.31,0.0,0.00%,200
PMRS,0826,"ALLSHR,KMIALLSHR",414.15,449.35,449.35,422.0,422.0,7.85,1.90%,185
